City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
86,Jennings,US,2022-09-21 20:55:19,38.7192,-90.2604,97.38,48,19,1.99,few clouds
87,Chunskiy,RU,2022-09-21 20:55:20,56.0815,99.6342,33.67,76,87,4.05,overcast clouds
88,Cherskiy,RU,2022-09-21 20:54:23,68.75,161.3,38.37,58,83,5.82,broken clouds
89,Dunedin,NZ,2022-09-21 20:55:20,-45.8742,170.5036,52.81,77,10,0.83,clear sky
90,Kavieng,PG,2022-09-21 20:55:21,-2.5744,150.7967,81.52,71,99,2.35,overcast clouds
91,Rena,NO,2022-09-21 20:55:22,61.1348,11.3641,40.98,86,45,0.92,scattered clouds
92,Noumea,NC,2022-09-21 20:54:32,-22.2763,166.4572,75.99,99,97,8.34,overcast clouds
93,Bombay,IN,2022-09-21 20:54:11,19.0144,72.8479,76.98,94,75,4.61,haze
94,Hilo,US,2022-09-21 20:55:23,19.7297,-155.09,84.25,75,15,4.0,few clouds
95,Florence,IT,2022-09-21 20:55:24,43.7667,11.25,60.82,67,0,4.61,clear sky
96,Bethel,US,2022-09-21 20:55:24,41.3712,-73.414,79.36,66,7,4.03,clear sky
97,Tasiilaq,GL,2022-09-21 20:55:25,65.6145,-37.6368,31.03,92,63,4.54,broken clouds
98,Lashio,MM,2022-09-21 20:55:26,22.9333,97.75,66.31,99,67,0.85,broken clouds
99,Jimbolia,RO,2022-09-21 20:55:26,45.7914,20.7172,51.08,61,99,3.51,light rain
100,Beyneu,KZ,2022-09-21 20:55:27,45.3167,55.2,70.48,22,0,10.74,clear sky
101,Tamandare,BR,2022-09-21 20:55:27,-8.7597,-35.1047,75.85,78,4,7.54,clear sky
102,Ponta Do Sol,PT,2022-09-21 20:55:28,32.6667,-17.1,75.0,83,52,6.53,broken clouds
103,Vila Velha,BR,2022-09-21 20:55:28,-20.3297,-40.2925,78.75,88,0,14.97,clear sky
104,Savannah Bight,HN,2022-09-21 20:55:29,16.45,-85.85,83.39,71,56,5.88,broken clouds
105,Puri,IN,2022-09-21 20:55:29,19.8,85.85,79.32,82,64,15.59,broken clouds
106,Port Lincoln,AU,2022-09-21 20:55:30,-34.7333,135.8667,52.97,86,96,3.96,overcast clouds
107,Tuktoyaktuk,CA,2022-09-21 20:55:31,69.4541,-133.0374,41.0,93,100,18.41,overcast clouds
108,Pevek,RU,2022-09-21 20:54:59,69.7008,170.3133,36.01,73,1,7.14,clear sky
109,Georgetown,MY,2022-09-21 20:52:17,5.4112,100.3354,77.9,93,40,5.75,scattered clouds
110,Kupang,ID,2022-09-21 20:55:32,-10.1667,123.5833,77.2,84,46,6.13,scattered clouds
111,Hualmay,PE,2022-09-21 20:55:32,-11.0964,-77.6139,64.18,76,100,11.03,overcast clouds
112,Makakilo City,US,2022-09-21 20:55:33,21.3469,-158.0858,83.68,64,40,9.22,scattered clouds
113,Cape Town,ZA,2022-09-21 20:51:34,-33.9258,18.4232,60.12,73,0,8.05,clear sky
114,Vitim,RU,2022-09-21 20:55:33,59.4511,112.5578,35.06,100,100,2.39,light snow
115,Adria,IT,2022-09-21 20:55:34,45.0564,12.0578,60.12,48,2,3.0,clear sky
116,Ilulissat,GL,2022-09-21 20:55:34,69.2167,-51.1,28.92,79,50,7.78,scattered clouds
117,Belaya Gora,RU,2022-09-21 20:55:35,68.5333,146.4167,32.54,99,100,10.0,light snow
118,Saskylakh,RU,2022-09-21 20:55:35,71.9167,114.0833,15.12,96,48,4.74,scattered clouds
119,Ixtapa,MX,2022-09-21 20:53:41,20.7,-105.2,82.31,87,89,5.64,overcast clouds
120,Kutum,SD,2022-09-21 20:55:36,14.2,24.6667,79.16,29,14,7.99,few clouds
121,Agucadoura,PT,2022-09-21 20:55:36,41.4318,-8.7804,73.24,85,0,1.32,clear sky
122,Hithadhoo,MV,2022-09-21 20:55:37,-0.6,73.0833,81.36,74,34,6.26,scattered clouds
123,Banyo,CM,2022-09-21 20:55:37,6.75,11.8167,65.75,97,99,2.39,moderate rain
124,Ust-Nera,RU,2022-09-21 20:55:38,64.5667,143.2,25.03,96,100,5.7,overcast clouds
125,Hermanus,ZA,2022-09-21 20:55:38,-34.4187,19.2345,48.79,76,23,3.44,few clouds
126,Khani,GE,2022-09-21 20:55:39,41.9563,42.9566,58.57,98,99,1.7,overcast clouds
127,Sinnamary,GF,2022-09-21 20:55:40,5.3833,-52.95,81.19,80,8,14.5,clear sky
128,Rock Sound,BS,2022-09-21 20:55:40,24.9,-76.2,83.68,73,4,21.83,clear sky
129,Avarua,CK,2022-09-21 20:50:24,-21.2078,-159.775,77.05,73,75,12.66,broken clouds
130,Ahipara,NZ,2022-09-21 20:55:41,-35.1667,173.1667,58.6,78,17,6.46,few clouds
131,Nikolskoye,RU,2022-09-21 20:54:27,59.7035,30.7861,49.89,97,15,3.89,few clouds
132,Kaitangata,NZ,2022-09-21 20:55:41,-46.2817,169.8464,48.43,77,21,2.59,few clouds
133,Leningradskiy,RU,2022-09-21 20:55:42,69.3833,178.4167,36.1,91,76,21.3,broken clouds
134,Tiksi,RU,2022-09-21 20:55:42,71.6872,128.8694,32.9,99,100,15.9,snow
135,Hervey Bay,AU,2022-09-21 20:55:43,-25.2986,152.8535,68.74,83,88,11.25,overcast clouds
136,Faanui,PF,2022-09-21 20:55:43,-16.4833,-151.75,78.48,73,7,20.51,light rain
137,Nha Trang,VN,2022-09-21 20:52:54,12.25,109.1833,78.8,89,100,4.09,overcast clouds
138,Misasi,TZ,2022-09-21 20:55:44,-3.0,33.0833,76.69,56,94,5.19,overcast clouds
139,Albany,US,2022-09-21 20:55:45,42.6001,-73.9662,75.72,72,53,1.01,broken clouds
140,Cloquet,US,2022-09-21 20:55:45,46.7216,-92.4594,59.38,73,89,5.01,overcast clouds
141,North Bend,US,2022-09-21 20:54:27,43.4065,-124.2243,68.23,94,75,6.91,broken clouds
