City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
160,Cayenne,GF,84.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
161,Broome,US,79.7,broken clouds,42.2506,-75.833,Chenango Valley State Park
167,Bambanglipuro,ID,76.05,overcast clouds,-7.95,110.2833,Puri Brata
168,Camalu,MX,78.37,clear sky,30.85,-116.0667,La Cueva del Pirata
169,Gizo,SB,77.47,overcast clouds,-8.103,156.8419,Imagination Island
179,Lumut,MY,75.22,few clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
180,Brigantine,US,82.2,few clouds,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
188,Panaba,MX,85.57,scattered clouds,21.2833,-88.2667,Hotel Don Fernando
198,Butaritari,KI,79.61,light rain,3.0707,172.7902,Isles Sunset Lodge
200,Quechultenango,MX,78.42,broken clouds,17.4167,-99.2167,Hotel Barrios
219,Bathsheba,BB,84.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
222,Ajdabiya,LY,80.49,clear sky,30.7554,20.2263,منزلة الحاج سالم خليفة العيساويه الزواوي
228,Tukrah,LY,76.73,few clouds,32.5341,20.5791,Lagrota restaurant
240,Wanning,CN,78.15,overcast clouds,18.8003,110.3967,Paradise Hotel
245,Alyangula,AU,75.79,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
249,Port-Gentil,GA,78.76,broken clouds,-0.7193,8.7815,Fengshui Residence
253,Alofi,NU,78.69,scattered clouds,-19.0595,-169.9187,Taloa Heights
259,Jardim,BR,81.03,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
260,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
273,Balkanabat,TM,84.58,clear sky,39.5108,54.3671,Nebitchi Hotel
276,Miguel Calmon,BR,77.67,clear sky,-11.4289,-40.595,Pousada Guiomar
278,Barra,BR,85.59,broken clouds,-11.0894,-43.1417,Pousada Bahia
279,Oranjestad,AW,85.95,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
280,Pilar,BR,75.13,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
281,Portland,US,79.57,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
286,Olinda,BR,80.33,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
287,Pemangkat,ID,76.62,broken clouds,1.1667,108.9667,Hotel Duyung Permai 2
290,Port Blair,IN,80.46,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
296,Torrevieja,ES,77.25,broken clouds,37.9787,-0.6822,Hotel Fontana Plaza
299,Pacific Grove,US,75.38,few clouds,36.6177,-121.9166,Lovers Point Inn
301,Oistins,BB,84.29,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
306,Hoi An,VN,78.76,broken clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
308,Cantaura,VE,80.55,overcast clouds,9.3057,-64.3584,Hotel Lorenzana
320,Alugan,PH,76.87,overcast clouds,12.2188,125.4808,JM Lodge
324,Healdsburg,US,80.98,clear sky,38.6105,-122.8692,Best Western Dry Creek Inn
325,Lorengau,PG,78.91,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
329,Pangai,TO,78.91,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
339,Tautira,PF,77.04,few clouds,-17.7333,-149.15,Pension Oaoa
347,Gat,IL,77.68,clear sky,31.61,34.7642,OlusHome
348,Sao Filipe,CV,78.82,scattered clouds,14.8961,-24.4956,Hotel Xaguate
351,Auki,SB,77.2,overcast clouds,-8.7676,160.7034,Auki Motel
358,Cabedelo,BR,79.47,clear sky,-6.9811,-34.8339,Pousada Camboinha
359,Qui Nhon,VN,78.64,light rain,13.7667,109.2333,Seagull Hotel
366,Bandarbeyla,SO,77.74,broken clouds,9.4942,50.8122,JABIR HOTEL
369,Corralillo,CU,85.06,clear sky,22.9819,-80.5856,Hostal De Pedri
377,Sola,VU,79.3,few clouds,-13.8833,167.55,Leumerus Bungalows
381,Kavaratti,IN,80.87,clear sky,10.5669,72.642,Green leaf
384,Odweyne,SO,81.64,overcast clouds,9.4092,45.064,Eng Hiirey House
389,Monrovia,LR,76.77,light rain,6.3005,-10.7969,Sunset Inn
