City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Gerash,IR,27.6652,54.1371,87.94,15,0,5.59
159,Russell,US,32.3502,-85.1999,70.02,100,0,0.0
160,Georgetown,MY,5.4112,100.3354,87.75,68,20,8.05
161,Umm Lajj,SA,25.0213,37.2685,85.89,42,3,13.29
162,Ust-Omchug,RU,61.15,149.6333,45.99,35,100,4.03
163,Ilulissat,GL,69.2167,-51.1,37.42,93,75,2.3
164,Puri,IN,19.8,85.85,82.92,69,100,7.96
165,Egvekinot,RU,66.3167,-179.1667,34.84,92,100,5.91
166,Half Moon Bay,US,37.4636,-122.4286,64.31,88,20,12.66
167,Thompson,CA,55.7435,-97.8558,53.76,100,100,6.91
168,Mount Pleasant,US,32.7941,-79.8626,75.18,93,20,6.91
169,Placido De Castro,BR,-10.3353,-67.1856,79.21,62,18,3.15
170,Ostrovnoy,RU,68.0531,39.5131,49.19,95,100,7.72
171,Iqaluit,CA,63.7506,-68.5145,38.93,86,75,2.3
172,Leningradskiy,RU,69.3833,178.4167,32.9,97,100,21.45
173,Adra,ES,36.7496,-3.0206,70.38,80,1,1.57
174,Hoshangabad,IN,22.75,77.7167,86.95,62,72,4.56
175,Katsuura,JP,35.1333,140.3,82.42,86,81,22.3
176,Nova Olimpia,BR,-14.7972,-57.2881,83.01,50,45,3.47
177,Oskaloosa,US,41.2964,-92.6444,71.92,100,75,4.61
178,Tabory,RU,58.5198,64.5495,58.77,59,100,4.72
179,Dakoro,NE,14.5106,6.765,82.35,59,69,7.05
180,Guerrero Negro,MX,27.9769,-114.0611,68.45,81,0,14.92
181,Zacualtipan,MX,20.65,-98.6,60.13,97,99,0.72
182,Ko Samui,TH,9.5357,99.9357,89.51,66,20,8.05
183,Tianpeng,CN,30.9866,103.9393,75.72,81,100,5.75
184,Lasa,IT,46.6166,10.7002,50.88,87,60,7.49
185,Amapa,BR,1.0,-52.0,67.5,98,50,0.87
186,Kaitangata,NZ,-46.2817,169.8464,55.06,77,94,3.09
187,Ulladulla,AU,-35.35,150.4667,60.28,53,44,8.14
188,Faratsiho,MG,-19.4,46.95,64.9,43,20,3.02
189,Nosy Varika,MG,-20.5833,48.5333,72.7,71,17,5.17
190,Kavieng,PG,-2.5744,150.7967,82.71,75,87,9.26
191,Lagunillas,VE,10.1301,-71.2595,78.08,90,80,10.83
192,Henties Bay,NA,-22.116,14.2845,53.42,74,0,15.05
193,Stadtallendorf,DE,50.8333,9.0167,49.55,89,97,8.68
194,Smithers,CA,54.7804,-127.1743,41.32,100,0,0.0
195,Roald,NO,62.5833,6.1333,48.76,76,40,10.36
196,Vrangel,RU,42.7297,133.0839,59.2,58,100,19.57
197,Vardo,NO,70.3705,31.1107,46.38,93,100,16.11
198,Sao Joao Da Barra,BR,-21.6403,-41.0511,61.84,84,0,6.04
199,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,92,93,4.94
200,Vao,NC,-22.6667,167.4833,73.09,76,0,13.76
201,Culfa,AZ,38.9558,45.6308,84.07,25,0,2.48
202,Whitehorse,CA,60.7161,-135.0538,42.82,75,75,2.3
203,Talnakh,RU,69.4865,88.3972,36.21,100,100,2.42
204,Consett,GB,54.854,-1.8316,48.25,89,100,0.65
205,Avera,US,33.194,-82.5271,67.51,77,2,6.44
206,Qasigiannguit,GL,68.8193,-51.1922,37.65,98,81,3.71
207,Luderitz,NA,-26.6481,15.1594,53.91,76,37,12.46
208,Te Anau,NZ,-45.4167,167.7167,50.11,86,48,4.99
